Percentiles,Home Page,Search Page,Simple Form 1,Simple Form 2
26.8,425.0,389.0,851.0,2419.0
26.9,425.0,389.0,851.0,2419.0
27.0,425.0,389.0,851.0,2419.0
27.1,425.0,389.0,851.0,2419.0
27.2,425.0,389.0,851.0,2419.0
27.3,425.0,389.0,851.0,2419.0
27.4,425.0,389.0,851.0,2419.0
27.5,425.0,389.0,860.0,2419.0
27.6,465.0,389.0,860.0,2419.0
27.7,465.0,398.0,860.0,2419.0
27.8,465.0,398.0,860.0,2419.0
27.9,465.0,398.0,860.0,2456.0
28.0,465.0,398.0,860.0,2456.0
28.1,465.0,398.0,860.0,2456.0
28.2,465.0,398.0,860.0,2456.0
28.3,465.0,398.0,860.0,2456.0
28.4,465.0,398.0,860.0,2456.0
28.5,465.0,398.0,860.0,2456.0
28.6,465.0,398.0,860.0,2456.0
28.7,465.0,398.0,860.0,2456.0
28.8,465.0,398.0,860.0,2456.0
28.9,465.0,398.0,860.0,2456.0
29.0,473.0,398.0,860.0,2456.0
29.1,473.0,398.0,860.0,2456.0
29.2,473.0,398.0,860.0,2456.0
29.3,473.0,418.0,860.0,2456.0
29.4,473.0,418.0,860.0,2456.0
29.5,473.0,418.0,887.0,2456.0
29.6,473.0,418.0,887.0,2598.0
29.7,473.0,418.0,887.0,2598.0
29.8,473.0,418.0,887.0,2598.0
29.9,473.0,418.0,887.0,2598.0
30.0,473.0,418.0,887.0,2598.0
30.1,473.0,418.0,887.0,2598.0
30.2,473.0,418.0,887.0,2598.0
30.3,473.0,418.0,887.0,2598.0
30.4,473.0,418.0,887.0,2598.0
30.5,477.0,418.0,887.0,2598.0
30.6,477.0,418.0,887.0,2598.0
30.7,477.0,418.0,887.0,2598.0
30.8,477.0,439.0,887.0,2598.0
30.9,477.0,439.0,887.0,2598.0
31.0,477.0,439.0,887.0,2598.0
31.1,477.0,439.0,887.0,2598.0
31.2,477.0,439.0,887.0,2706.0
31.3,477.0,439.0,887.0,2706.0
31.4,477.0,439.0,907.0,2706.0
31.5,477.0,439.0,907.0,2706.0
31.6,477.0,439.0,907.0,2706.0
31.7,477.0,439.0,907.0,2706.0
31.8,477.0,439.0,907.0,2706.0
31.9,512.0,439.0,907.0,2706.0
32.0,512.0,439.0,907.0,2706.0
32.1,512.0,439.0,907.0,2706.0
32.2,512.0,439.0,907.0,2706.0
32.3,512.0,439.0,907.0,2706.0
32.4,512.0,453.0,907.0,2706.0
32.5,512.0,453.0,907.0,2706.0
32.6,512.0,453.0,907.0,2706.0
32.7,512.0,453.0,907.0,2706.0
32.8,512.0,453.0,907.0,2728.0
32.9,512.0,453.0,907.0,2728.0
33.0,512.0,453.0,907.0,2728.0
33.1,512.0,453.0,907.0,2728.0
33.2,512.0,453.0,907.0,2728.0
33.3,512.0,453.0,907.0,2728.0
33.4,512.0,453.0,913.0,2728.0
33.5,512.0,453.0,913.0,2728.0
33.6,512.0,453.0,913.0,2728.0
